dependenciabloq|f0t4|leerprotocolo|f0t3|2015-06-17T09:40:43.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-17T10:07:03.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:13:29.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:13:38.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:13:41.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:13:47.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:13:54.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:13:59.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:14:02.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:14:05.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:14:07.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:14:10.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:14:12.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:15:20.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:15:23.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:15:26.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:15:28.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:15:31.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:15:34.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:28.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:31.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:33.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:36.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:38.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:41.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:43.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:46.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:49.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:51.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:54.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:56.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:16:59.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:02.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:04.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:07.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:12.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:15.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:17.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:20.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:22.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:25.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:27.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:30.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:33.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:35.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:38.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:40.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:43.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:49.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:51.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2015-06-17T10:17:54.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:08.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:14.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:17.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:19.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:22.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:24.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:26.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:29.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:31.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:34.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:36.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:38.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:41.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:18:43.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2015-06-17T10:33:30.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2015-06-17T10:33:33.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2015-06-17T10:39:06.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2015-06-17T11:04:04.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2015-06-17T11:29:47.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t38-f2t39-f2t40-f2t41|2015-06-17T11:30:45.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2015-06-17T11:32:10.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:35:14.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:35:17.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2015-06-17T11:36:54.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:05.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:08.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:11.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:25.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:28.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:31.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:45.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:48.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:41:51.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:42:01.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-17T11:42:05.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:48:51.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:49:15.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:49:20.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:49:22.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:50:52.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:50:55.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T11:53:03.0000000Z
accionnoencontrada| |guardarligacion| |2015-06-17T11:59:32.0000000Z
accionrealizada|f3t14|tomartamponpolimerasa|tomartamponpolimerasa|2015-06-17T12:09:09.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t35-f3t36|2015-06-17T12:12:50.0000000Z
incompatibilidadnobloq|f3t52|finmezcla|f3t41-f3t42|2015-06-17T12:12:55.0000000Z
accionnoencontrada| |entregarmezclapcr| |2015-06-17T12:14:09.0000000Z
